payment_id,client_id,payment_month,lockbox_amount,payment_method
PAY0000000,ClientB,2025-03,600.71,Wire
PAY0000001,ClientB,2025-06,621.73,Check
PAY0000002,ClientA,2025-08,269.46,Check
PAY0000003,ClientD,2026-03,283.67,Wire
PAY0000004,ClientC,2026-04,493.08,ACH
PAY0000005,ClientB,2025-02,136.35,ACH
PAY0000006,ClientC,2025-07,408.03,Check
PAY0000007,ClientC,2026-03,460.8,Wire
PAY0000008,ClientA,2025-06,519.43,Wire
PAY0000009,ClientD,2025-02,63.35,Check
PAY0000010,ClientD,2025-08,758.82,Wire
PAY0000011,ClientD,2025-07,376.39,ACH
PAY0000012,ClientC,2025-07,505.97,ACH
PAY0000013,ClientA,2025-12,255.64,ACH
PAY0000014,ClientB,2025-03,1280.19,ACH
PAY0000015,ClientC,2025-05,461.95,ACH
PAY0000016,ClientB,2025-11,55.6,ACH
PAY0000017,ClientB,2026-01,702.74,ACH
PAY0000018,ClientB,2026-02,567.98,ACH
PAY0000019,ClientA,2025-11,553.43,Wire
PAY0000020,ClientA,2025-03,622.98,Wire
PAY0000021,ClientC,2025-02,893.65,ACH
PAY0000022,ClientA,2025-11,401.31,Wire
PAY0000023,ClientA,2025-05,806.29,Check
PAY0000024,ClientB,2026-01,155.3,ACH
PAY0000025,ClientB,2025-08,373.16,ACH
PAY0000026,ClientD,2026-03,301.55,ACH
PAY0000027,ClientA,2026-04,754.9,ACH
PAY0000028,ClientB,2025-10,57.26,Wire
PAY0000029,ClientC,2025-03,150.26,ACH
PAY0000030,ClientD,2026-04,1042.02,Wire
PAY0000031,ClientB,2026-03,475.81,Wire
PAY0000032,ClientD,2025-09,149.92,Wire
PAY0000033,ClientB,2025-01,560.19,ACH
PAY0000034,ClientB,2026-01,424.52,Check
PAY0000035,ClientC,2025-08,1456.21,Wire
PAY0000036,ClientC,2026-03,496.62,Check
PAY0000037,ClientB,2025-06,641.62,ACH
PAY0000038,ClientD,2025-07,588.05,Wire
PAY0000039,ClientD,2025-12,364.76,Check
PAY0000040,ClientA,2025-07,87.51,Wire
PAY0000041,ClientA,2025-01,114.7,ACH
PAY0000042,ClientC,2025-03,1094.41,Wire
PAY0000043,ClientC,2026-02,316.7,Wire
PAY0000044,ClientD,2026-01,636.85,ACH
PAY0000045,ClientA,2025-12,309.04,Check
PAY0000046,ClientC,2025-04,495.93,Check
PAY0000047,ClientB,2026-01,243.02,ACH
PAY0000048,ClientA,2026-02,1047.31,Check
PAY0000049,ClientA,2025-01,538.31,ACH
PAY0000050,ClientB,2025-08,622.36,Wire
PAY0000051,ClientA,2025-10,143.67,Check
PAY0000052,ClientA,2025-12,1520.71,Check
PAY0000053,ClientB,2025-10,272.44,Wire
PAY0000054,ClientC,2025-11,403.49,ACH
PAY0000055,ClientA,2025-08,658.95,Check
PAY0000056,ClientC,2025-02,333.52,Wire
PAY0000057,ClientA,2025-06,368.77,ACH
PAY0000058,ClientC,2026-01,326.96,ACH
PAY0000059,ClientC,2025-08,881.94,Wire
PAY0000060,ClientA,2025-03,154.01,ACH
PAY0000061,ClientC,2025-05,290.8,Wire
PAY0000062,ClientD,2026-01,176.23,Check
PAY0000063,ClientD,2025-01,480.55,ACH
PAY0000064,ClientA,2025-09,642.38,ACH
PAY0000065,ClientC,2025-01,620.84,Wire
PAY0000066,ClientD,2025-11,838.0,ACH
PAY0000067,ClientB,2026-01,605.85,Wire
PAY0000068,ClientD,2025-01,504.36,Check
PAY0000069,ClientA,2025-07,176.75,ACH
PAY0000070,ClientA,2026-02,1094.82,Wire
PAY0000071,ClientA,2025-05,499.87,Wire
PAY0000072,ClientA,2026-04,452.08,Wire
PAY0000073,ClientB,2025-09,459.57,Wire
PAY0000074,ClientD,2025-03,1057.23,Wire
PAY0000075,ClientA,2026-03,396.79,ACH
PAY0000076,ClientC,2025-11,398.85,Check
PAY0000077,ClientA,2025-04,118.82,ACH
PAY0000078,ClientC,2026-01,209.18,Wire
PAY0000079,ClientA,2025-12,125.91,Wire
PAY0000080,ClientB,2025-07,266.92,Wire
PAY0000081,ClientA,2026-02,507.17,Wire
PAY0000082,ClientC,2025-05,195.13,Check
PAY0000083,ClientA,2025-09,223.97,Wire
PAY0000084,ClientD,2025-01,480.1,Check
PAY0000085,ClientA,2026-02,704.77,ACH
PAY0000086,ClientD,2025-01,126.93,Wire
PAY0000087,ClientC,2026-01,2204.03,Check
PAY0000088,ClientB,2025-03,278.35,ACH
PAY0000089,ClientD,2025-10,522.29,Wire
PAY0000090,ClientB,2025-12,416.47,Wire
PAY0000091,ClientC,2025-09,737.16,Wire
PAY0000092,ClientC,2025-06,462.62,ACH
PAY0000093,ClientA,2025-10,137.85,ACH
PAY0000094,ClientA,2025-04,1074.7,Wire
PAY0000095,ClientD,2025-04,177.72,ACH
PAY0000096,ClientA,2025-05,838.18,Wire
PAY0000097,ClientD,2025-04,395.31,Wire
PAY0000098,ClientB,2025-07,570.97,Wire
PAY0000099,ClientA,2025-12,225.58,Check
PAY0000100,ClientB,2025-02,638.47,Wire
PAY0000101,ClientD,2025-12,625.41,ACH
PAY0000102,ClientD,2025-09,581.14,Check
PAY0000103,ClientB,2025-11,505.71,Check
