payment_id,client_id,lockbox_amount,category
PAY0002144,ClientA,663.71,Overpayment
PAY0001472,ClientB,357.82,Short pay
PAY0001536,ClientC,207.02,Overpayment
PAY0001696,ClientC,324.57,Missing claim reference
PAY0003227,ClientA,444.05,Missing claim reference
PAY0002252,ClientD,275.24,Timing difference
PAY0000426,ClientB,412.11,Overpayment
PAY0001873,ClientB,754.85,Short pay
PAY0002074,ClientA,1032.53,Timing difference
PAY0002594,ClientD,839.75,Missing claim reference
PAY0002648,ClientC,383.98,Short pay
PAY0003035,ClientB,974.38,Timing difference
PAY0003203,ClientC,563.91,Missing claim reference
PAY0000887,ClientD,17.45,Missing claim reference
PAY0001015,ClientD,400.04,Overpayment
PAY0000885,ClientD,183.19,Missing claim reference
PAY0001987,ClientC,566.56,Timing difference
PAY0002435,ClientC,412.11,Missing claim reference
PAY0003177,ClientA,604.03,Overpayment
PAY0000223,ClientC,250.45,Short pay
PAY0002881,ClientB,344.77,Timing difference
PAY0002714,ClientB,734.92,Missing claim reference
PAY0002317,ClientD,238.85,Overpayment
PAY0000015,ClientC,461.95,Overpayment
PAY0000675,ClientC,786.12,Timing difference
PAY0001278,ClientC,103.75,Short pay
PAY0001298,ClientC,622.62,Short pay
PAY0000590,ClientD,639.24,Missing claim reference
PAY0001946,ClientD,936.34,Short pay
PAY0000830,ClientA,471.81,Timing difference
PAY0002896,ClientD,750.42,Short pay
PAY0002741,ClientC,519.83,Timing difference
PAY0000702,ClientD,2336.58,Missing claim reference
PAY0001363,ClientC,345.51,Missing claim reference
PAY0003310,ClientC,985.48,Overpayment
PAY0001205,ClientC,592.98,Short pay
PAY0001063,ClientA,140.56,Overpayment
PAY0000486,ClientA,404.13,Short pay
PAY0001199,ClientC,162.36,Short pay
PAY0001580,ClientD,585.59,Overpayment
PAY0002916,ClientA,396.63,Overpayment
PAY0001662,ClientB,285.6,Overpayment
PAY0002689,ClientC,996.52,Timing difference
PAY0003278,ClientD,213.84,Missing claim reference
PAY0000553,ClientD,522.82,Missing claim reference
PAY0002732,ClientD,317.61,Missing claim reference
PAY0003215,ClientB,367.21,Short pay
PAY0000435,ClientC,616.88,Missing claim reference
PAY0000740,ClientC,1044.35,Overpayment
PAY0002822,ClientB,369.5,Missing claim reference
PAY0001699,ClientB,1038.53,Timing difference
PAY0000757,ClientA,1002.24,Short pay
PAY0000444,ClientD,504.04,Missing claim reference
PAY0001893,ClientC,593.31,Short pay
PAY0003521,ClientC,445.51,Short pay
PAY0002606,ClientA,737.52,Short pay
PAY0001522,ClientB,858.82,Overpayment
PAY0000534,ClientD,295.18,Short pay
PAY0002313,ClientA,330.02,Overpayment
PAY0000560,ClientC,435.71,Missing claim reference
PAY0002106,ClientB,1090.37,Short pay
PAY0000903,ClientD,447.04,Timing difference
PAY0002506,ClientB,528.0,Short pay
PAY0001548,ClientD,794.83,Short pay
PAY0000258,ClientD,649.34,Timing difference
PAY0001264,ClientD,457.33,Timing difference
PAY0000780,ClientD,1539.06,Overpayment
PAY0001391,ClientD,1235.07,Overpayment
PAY0000723,ClientB,412.11,Short pay
PAY0003312,ClientC,492.27,Timing difference
PAY0001386,ClientC,147.3,Timing difference
PAY0002437,ClientA,236.96,Timing difference
PAY0000623,ClientB,232.38,Missing claim reference
PAY0002449,ClientC,512.07,Short pay
PAY0002798,ClientD,1287.11,Overpayment
PAY0001759,ClientD,478.05,Missing claim reference
PAY0002661,ClientD,364.82,Timing difference
PAY0000909,ClientA,165.86,Missing claim reference
PAY0003201,ClientD,257.66,Missing claim reference
PAY0002730,ClientC,576.44,Missing claim reference
PAY0000916,ClientD,872.45,Timing difference
PAY0002447,ClientD,456.68,Timing difference
PAY0001877,ClientB,157.28,Timing difference
PAY0001119,ClientC,405.99,Timing difference
PAY0002256,ClientC,184.76,Missing claim reference
PAY0003202,ClientA,687.46,Overpayment
PAY0002378,ClientA,1286.73,Missing claim reference
PAY0000055,ClientA,658.95,Missing claim reference
PAY0000581,ClientA,239.86,Timing difference
PAY0001595,ClientB,138.26,Missing claim reference
PAY0000473,ClientA,714.72,Overpayment
PAY0001526,ClientA,553.1,Timing difference
PAY0000755,ClientD,579.53,Overpayment
PAY0002501,ClientA,612.29,Missing claim reference
PAY0000342,ClientB,657.96,Missing claim reference
PAY0001392,ClientC,531.98,Timing difference
PAY0000918,ClientC,578.06,Overpayment
PAY0000398,ClientB,169.61,Short pay
PAY0003439,ClientD,183.78,Short pay
PAY0000329,ClientA,130.21,Short pay
PAY0001756,ClientA,1121.57,Overpayment
PAY0003497,ClientD,170.27,Missing claim reference
PAY0002099,ClientC,860.58,Timing difference
PAY0000908,ClientD,1008.84,Overpayment
PAY0002612,ClientD,276.31,Overpayment
PAY0002954,ClientC,292.83,Overpayment
PAY0003478,ClientC,541.6,Missing claim reference
PAY0000300,ClientA,235.78,Overpayment
PAY0002461,ClientB,653.29,Missing claim reference
PAY0001377,ClientC,206.61,Missing claim reference
PAY0002257,ClientA,987.37,Missing claim reference
PAY0003296,ClientD,339.38,Missing claim reference
PAY0003253,ClientB,491.56,Missing claim reference
PAY0001275,ClientD,1587.49,Missing claim reference
PAY0002814,ClientB,932.59,Missing claim reference
PAY0001938,ClientA,541.07,Overpayment
PAY0000966,ClientD,410.66,Short pay
PAY0003487,ClientC,433.77,Timing difference
PAY0001833,ClientA,188.01,Timing difference
PAY0001704,ClientB,1253.44,Missing claim reference
PAY0002224,ClientA,876.04,Overpayment
PAY0000048,ClientA,1047.31,Short pay
PAY0000703,ClientB,725.12,Missing claim reference
PAY0000420,ClientA,729.51,Timing difference
PAY0002003,ClientC,129.19,Short pay
PAY0000664,ClientA,789.18,Missing claim reference
PAY0000787,ClientB,1037.05,Missing claim reference
PAY0000085,ClientA,704.77,Missing claim reference
PAY0000692,ClientA,554.99,Overpayment
PAY0002748,ClientB,249.97,Missing claim reference
PAY0002779,ClientA,460.25,Short pay
PAY0003150,ClientB,549.86,Overpayment
PAY0001882,ClientC,397.96,Timing difference
PAY0001452,ClientC,593.13,Short pay
PAY0003357,ClientB,602.26,Timing difference
PAY0000083,ClientA,223.97,Short pay
PAY0002773,ClientC,482.45,Overpayment
PAY0001146,ClientC,425.18,Short pay
PAY0003571,ClientA,256.16,Short pay
PAY0001356,ClientD,333.37,Missing claim reference
PAY0002025,ClientD,430.2,Timing difference
PAY0002843,ClientA,448.07,Timing difference
PAY0000152,ClientC,333.21,Overpayment
PAY0002068,ClientD,1002.59,Missing claim reference
PAY0000170,ClientC,164.98,Timing difference
PAY0003383,ClientA,316.32,Short pay
PAY0002287,ClientC,182.48,Short pay
PAY0002621,ClientC,408.68,Overpayment
PAY0000554,ClientD,62.42,Short pay
PAY0002019,ClientB,359.68,Overpayment
PAY0002377,ClientA,265.3,Overpayment
PAY0003194,ClientD,1039.64,Timing difference
PAY0002855,ClientB,958.38,Short pay
PAY0001939,ClientC,959.83,Timing difference
PAY0001782,ClientA,457.91,Overpayment
PAY0000968,ClientA,284.94,Timing difference
PAY0000385,ClientA,1232.81,Overpayment
PAY0003361,ClientD,907.95,Missing claim reference
PAY0001960,ClientB,139.8,Missing claim reference
PAY0002052,ClientA,943.05,Short pay
PAY0002548,ClientD,142.31,Missing claim reference
PAY0002416,ClientB,704.03,Timing difference
PAY0001552,ClientB,1345.76,Short pay
PAY0000622,ClientB,273.19,Overpayment
PAY0001121,ClientD,99.53,Overpayment
PAY0003540,ClientD,1359.6,Missing claim reference
PAY0001567,ClientA,219.56,Timing difference
PAY0000155,ClientB,458.47,Missing claim reference
PAY0000352,ClientA,370.64,Overpayment
PAY0000682,ClientA,819.18,Missing claim reference
PAY0003583,ClientB,217.44,Missing claim reference
PAY0000070,ClientA,1094.82,Missing claim reference
PAY0000874,ClientC,365.65,Missing claim reference
PAY0000967,ClientA,805.65,Short pay
PAY0001186,ClientD,162.41,Timing difference
PAY0000574,ClientA,302.61,Timing difference
PAY0002177,ClientB,866.81,Short pay
PAY0001679,ClientC,362.94,Short pay
PAY0002651,ClientD,768.54,Overpayment
